PLAYER_WYID,FIRSTNAME,LASTNAME,ROLECODE3,BIRTHDATE,SEASONNAME,SEASON_WYID,COMPETITIONNAME,COMPETITION_WYID,SEASON_WYID,PLAYER_WYID,MATCHES,MATCHESINSTART,MATCHESSUBSTITUTED,MATCHESCOMINGOFF,MINUTESONFIELD,MINUTESTAGGED,GOALS,ASSISTS,SHOTS,HEADSHOTS,YELLOWCARDS,REDCARDS,DIRECTREDCARDS,PENALTIES,LINKUPPLAYS,DUELS,DUELSWON,DEFENSIVEDUELS,DEFENSIVEDUELSWON,OFFENSIVEDUELS,OFFENSIVEDUELSWON,AERIALDUELS,AERIALDUELSWON,FOULS,PASSES,SUCCESSFULPASSES,SMARTPASSES,SUCCESSFULSMARTPASSES,PASSESTOFINALTHIRD,SUCCESSFULPASSESTOFINALTHIRD,CROSSES,SUCCESSFULCROSSES,FORWARDPASSES,SUCCESSFULFORWARDPASSES,BACKPASSES,SUCCESSFULBACKPASSES,THROUGHPASSES,SUCCESSFULTHROUGHPASSES,KEYPASSES,SUCCESSFULKEYPASSES,VERTICALPASSES,SUCCESSFULVERTICALPASSES,LONGPASSES,SUCCESSFULLONGPASSES,DRIBBLES,SUCCESSFULDRIBBLES,INTERCEPTIONS,DEFENSIVEACTIONS,SUCCESSFULDEFENSIVEACTION,ATTACKINGACTIONS,SUCCESSFULATTACKINGACTIONS,FREEKICKS,FREEKICKSONTARGET,DIRECTFREEKICKS,DIRECTFREEKICKSONTARGET,CORNERS,SUCCESSFULPENALTIES,SUCCESSFULLINKUPPLAYS,ACCELERATIONS,PRESSINGDUELS,PRESSINGDUELSWON,LOOSEBALLDUELS,LOOSEBALLDUELSWON,MISSEDBALLS,SHOTASSISTS,SHOTONTARGETASSISTS,RECOVERIES,OPPONENTHALFRECOVERIES,DANGEROUSOPPONENTHALFRECOVERIES,LOSSES,OWNHALFLOSSES,DANGEROUSOWNHALFLOSSES,XGSHOT,XGASSIST,XGSAVE,RECEIVEDPASS,TOUCHINBOX,PROGRESSIVERUN,OFFSIDES,CLEARANCES,SECONDASSISTS,THIRDASSISTS,SHOTSBLOCKED,FOULSSUFFERED,PROGRESSIVEPASSES,COUNTERPRESSINGRECOVERIES,SLIDINGTACKLES,GOALKICKS,DRIBBLESAGAINST,DRIBBLESAGAINSTWON,GOALKICKSSHORT,GOALKICKSLONG,SHOTSONTARGET,SUCCESSFULPROGRESSIVEPASSES,SUCCESSFULSLIDINGTACKLES,SUCCESSFULGOALKICKS,FIELDAERIALDUELS,FIELDAERIALDUELSWON,GKCLEANSHEETS,GKCONCEDEDGOALS,GKSHOTSAGAINST,GKEXITS,GKSUCCESSFULEXITS,GKAERIALDUELS,GKAERIALDUELSWON,GKSAVES,NEWDUELSWON,NEWDEFENSIVEDUELSWON,NEWOFFENSIVEDUELSWON,NEWSUCCESSFULDRIBBLES,LATERALPASSES,SUCCESSFULLATERALPASSES
639591,Noah Emil,Sømmergaard,GKP,2006-08-25,2025/2026,191620,1st Division,328,191620,639591,8,8,0,0,773,773,0,0,0,0,1,0,0,0,0,8,5,2,0,1,1,5,4,1,305,272,0,0,27,8,0,0,141,110,0,0,2,0,0,0,150,150,69,40,0,0,12,14,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,0,0,51,6,0,0,0,15.03,212,0,0,0,2,0,0,0,3,50,5,0,66,2,1,3,63,0,39,0,44,0,0,0,15,44,12,0,5,4,29,6,1,1,0,150,150
269701,Marvin,Egho,FWD,1994-05-09,2025/2026,191620,1st Division,328,191620,269701,18,17,13,1,1336,1336,5,0,28,7,2,0,0,4,9,329,134,34,6,83,31,165,80,13,247,165,1,0,38,18,4,3,68,36,66,58,1,0,6,6,64,39,8,4,16,13,32,71,56,49,24,0,0,0,0,0,3,5,0,22,0,47,17,8,7,6,40,25,5,199,66,14,6.85,0.51,0,144,43,6,7,16,0,0,3,16,33,28,5,0,2,1,0,0,12,15,4,0,165,80,0,0,0,0,0,0,0,0,139,19,23,9,64,39
620821,Zamir,Aliji,MID,2004-04-08,2025/2026,191620,1st Division,328,191620,620821,5,1,1,4,195,195,1,0,4,0,2,0,0,0,0,48,11,15,3,19,4,6,2,6,64,47,0,0,6,1,7,3,14,7,9,9,1,0,0,0,31,24,5,2,2,1,4,22,16,13,6,0,0,0,0,0,0,0,1,1,0,8,2,0,0,0,12,10,0,26,5,1,0.51,0,0,49,6,0,0,0,0,0,0,3,8,8,3,0,4,2,0,0,2,7,2,0,6,2,0,0,0,0,0,0,0,0,16,9,3,1,31,24
705613,William Oliver,Steindorsson,MID,2005-04-21,2025/2026,191620,1st Division,328,191620,705613,14,4,4,10,587,587,2,1,14,1,0,0,0,0,2,152,69,38,14,80,44,12,4,7,153,128,0,0,12,9,9,4,32,24,52,48,0,0,1,1,39,32,4,2,26,20,17,56,47,49,23,0,0,0,0,0,0,2,5,12,0,22,7,3,2,1,52,21,4,55,10,2,2.52,0.19,0,103,19,16,6,5,0,1,1,14,17,20,1,0,4,3,0,0,4,16,0,0,12,4,0,0,0,0,0,0,0,0,76,29,36,15,39,32
471965,Frederik,Ibsen,GKP,1997-03-28,2025/2026,191620,1st Division,328,191620,471965,8,8,0,0,774,774,0,0,0,0,1,0,0,0,0,8,6,0,0,0,0,7,5,0,307,255,0,0,17,3,0,0,129,78,0,0,4,1,1,1,166,165,92,43,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,38,0,0,59,21,4,0,0.15,15.14,209,0,0,0,9,0,0,0,1,54,6,0,20,0,0,11,8,0,28,0,18,0,0,2,12,46,20,0,7,5,34,6,0,0,0,166,165
591140,Johan,Meyer,DEF,2004-01-05,2025/2026,191620,1st Division,328,191620,591140,9,3,0,6,499,499,0,0,4,4,3,0,0,0,0,73,33,26,3,6,2,27,19,6,264,248,0,0,24,20,0,0,94,83,10,10,2,2,0,0,131,127,10,7,0,0,24,52,42,4,1,0,0,0,0,0,0,0,0,0,0,14,9,3,1,0,59,11,3,36,13,1,0.31,0.44,0,194,9,0,0,21,0,0,4,3,26,26,2,4,11,6,4,0,1,23,2,4,27,19,0,0,0,0,0,0,0,0,45,16,1,0,131,127
1051708,Richmond,Gyamfi,FWD,2004-09-09,2025/2026,191620,1st Division,328,191620,1051708,8,5,5,3,404,404,1,2,15,1,0,0,0,0,1,105,44,15,0,73,38,4,1,5,92,64,1,1,8,5,10,7,23,12,18,13,2,1,5,5,27,21,3,1,38,25,6,21,13,64,26,0,0,0,0,0,0,0,2,10,0,13,5,2,8,5,16,11,2,48,8,1,2,0.93,0,71,20,20,0,1,0,1,0,2,14,8,0,0,3,0,0,0,4,13,0,0,4,1,0,0,0,0,0,0,0,0,39,7,26,14,27,21
685762,Nikolaj,Juul-Sandberg,MID,2006-04-21,2025/2026,191620,1st Division,328,191620,685762,10,10,3,0,899,899,0,0,3,0,1,0,0,0,0,113,33,45,9,30,12,25,11,4,492,429,2,1,82,64,16,8,151,119,106,102,3,1,2,2,152,140,31,19,7,6,31,76,62,28,15,12,4,0,0,48,0,0,2,3,0,13,1,3,19,2,67,38,4,90,17,1,0.09,1.71,0,365,7,17,0,2,1,1,5,2,77,44,0,0,8,3,0,0,1,59,0,0,25,11,0,0,0,0,0,0,0,0,54,31,11,5,152,140
1026869,Christ,Tape,DEF,2006-01-01,2025/2026,191620,1st Division,328,191620,1026869,14,13,2,1,1215,1215,1,0,7,1,2,1,1,0,0,189,96,72,20,35,22,51,38,19,704,605,0,0,113,81,4,0,367,294,40,38,4,0,0,0,217,202,80,34,10,7,64,138,108,21,8,0,0,0,0,0,0,0,0,2,0,31,16,7,3,0,169,26,1,127,51,12,0.69,0.05,0,487,9,17,0,31,0,0,4,10,153,42,2,3,17,7,3,0,2,114,0,3,51,38,0,0,0,0,0,0,0,0,113,42,17,6,217,202
775933,Kristaps,Grabovskis,FWD,2005-06-14,2025/2026,191620,1st Division,328,191620,775933,16,14,13,2,1043,1043,1,2,18,0,0,0,0,0,16,162,69,48,9,91,52,8,3,6,464,382,4,2,35,26,21,6,107,74,140,127,8,4,5,5,134,105,24,10,33,23,20,69,52,76,32,5,1,2,0,11,0,12,2,15,0,15,5,8,13,5,49,29,5,127,33,1,1.13,1.3,0,380,31,42,1,6,0,1,0,25,42,30,1,0,9,2,0,0,6,28,0,0,8,3,0,0,0,0,0,0,0,0,84,31,45,18,134,105
561153,Isak Frederik,Tånnander,MID,2001-06-24,2025/2026,191620,1st Division,328,191620,561153,16,15,10,1,1162,1162,5,0,30,13,2,0,0,0,21,291,101,36,6,128,54,49,22,20,251,198,0,0,9,6,14,2,44,33,94,82,0,0,2,2,47,34,3,1,28,21,35,74,59,72,34,0,0,0,0,0,0,14,6,20,0,78,19,6,7,2,42,21,7,130,38,2,3.87,0.46,0,172,60,21,12,17,0,1,3,19,17,28,3,0,2,0,0,0,16,12,1,0,49,22,0,0,0,0,0,0,0,0,107,21,45,16,47,34
449083,Alessio,Alicino,MID,2001-10-12,2025/2026,191620,1st Division,328,191620,449083,7,0,0,7,170,170,0,0,0,0,0,0,0,0,0,30,4,20,3,3,0,4,1,3,79,66,0,0,15,9,1,0,25,15,10,10,1,0,0,0,30,28,11,4,0,0,6,26,17,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,9,4,1,17,6,1,0,0,0,53,0,0,0,3,0,0,0,0,12,4,0,0,7,0,0,0,0,9,0,0,4,1,0,0,0,0,0,0,0,0,12,11,0,0,30,28
523116,Jonas,Lyshøj,DEF,2002-03-08,2025/2026,191620,1st Division,328,191620,523116,1,0,0,1,11,11,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
506857,Magnus,Warming,FWD,2000-06-08,2025/2026,191620,1st Division,328,191620,506857,6,2,2,4,155,155,1,0,3,0,0,0,0,0,1,33,12,6,0,16,8,7,4,2,23,15,0,0,1,1,7,5,6,1,5,4,0,0,1,1,7,6,0,0,7,5,3,9,3,17,12,0,0,0,0,0,0,0,1,9,0,4,0,3,3,1,3,2,1,18,3,0,0.68,0.34,0,19,7,9,0,4,0,0,0,1,5,2,0,0,1,0,0,0,1,4,0,0,7,4,0,0,0,0,0,0,0,0,12,0,8,6,7,6
619642,Oliver,Ross,FWD,2004-10-10,2025/2026,191620,1st Division,328,191620,619642,17,11,10,6,1034,1034,4,2,20,3,1,0,0,1,17,199,74,35,9,103,52,32,8,16,307,241,3,1,32,21,27,7,79,49,75,72,4,1,5,5,97,70,17,6,35,28,20,55,43,85,35,7,2,2,0,24,1,15,1,12,0,29,5,2,15,5,44,22,4,113,34,3,2.52,2.36,0,230,33,10,4,5,0,0,0,15,43,24,0,0,9,7,0,0,10,31,0,0,32,8,0,0,0,0,0,0,0,0,74,23,38,17,97,70
508908,Lennart,Moser,GKP,1999-12-06,2025/2026,191620,1st Division,328,191620,508908,17,17,0,0,1666,1666,0,0,0,0,1,0,0,0,0,12,11,0,0,1,1,11,10,0,640,579,0,0,30,16,0,0,270,216,0,0,2,1,0,0,333,329,146,93,0,0,34,34,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,60,22,3,0,0,21.72,398,0,0,0,13,0,0,1,2,105,10,0,33,0,0,14,19,0,71,0,26,0,0,5,20,75,37,0,11,10,55,11,0,1,0,333,329
544671,Ole Martin,Lekven Kolskogen,DEF,2001-01-20,2025/2026,191620,1st Division,328,191620,544671,15,11,4,4,998,998,0,0,0,0,1,0,0,0,0,130,63,57,18,7,6,38,22,6,479,441,0,0,34,25,0,0,131,106,31,31,0,0,0,0,249,239,28,16,2,2,49,108,99,2,1,0,0,0,0,0,0,0,0,2,0,28,17,4,4,0,129,20,4,50,31,5,0,0.18,0,326,4,1,0,37,0,0,3,6,50,45,2,3,10,6,3,0,0,28,1,3,38,22,0,0,0,0,0,0,0,0,92,48,5,1,249,239
56012,Frederik,Holst,MID,1994-09-24,2025/2026,191620,1st Division,328,191620,56012,2,0,0,2,38,38,0,0,0,0,0,0,0,0,0,8,4,5,1,2,2,0,0,2,14,11,0,0,1,0,0,0,7,4,2,2,0,0,0,0,2,2,2,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1,0,4,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,2,2
56023,Mike,Lindemann Jensen,MID,1988-02-19,2025/2026,191620,1st Division,328,191620,56023,16,15,1,1,1455,1455,4,0,28,1,1,1,1,1,0,181,65,71,13,59,30,17,8,24,535,435,4,2,107,63,12,7,181,113,101,100,10,4,7,7,173,157,67,26,10,9,50,125,90,54,25,20,11,2,1,25,1,0,1,9,0,34,14,8,20,7,118,57,12,133,37,9,2.16,2.49,0,355,13,11,1,8,2,0,2,16,86,61,4,0,13,7,0,0,10,63,1,0,17,8,0,0,0,0,0,0,0,0,83,36,25,6,173,157
450067,Christian,Vestergaard,DEF,2001-04-26,2025/2026,191620,1st Division,328,191620,450067,6,5,0,1,518,518,0,0,1,1,1,0,0,0,0,63,36,25,10,5,2,21,17,5,332,293,0,0,44,29,1,0,145,115,25,24,4,1,1,1,123,120,29,12,1,1,35,62,56,3,2,0,0,0,0,0,0,0,0,0,0,12,7,3,4,1,70,9,1,64,26,7,0.06,0.1,0,240,4,1,1,19,0,0,4,1,51,20,2,12,8,6,11,0,1,40,1,12,21,17,0,0,0,0,0,0,0,0,45,19,2,1,123,120
660853,Nóel,Atli Arnórsson,DEF,2006-09-30,2025/2026,191620,1st Division,328,191620,660853,16,10,3,6,1052,1052,1,0,10,2,1,1,1,0,0,189,77,79,15,40,23,35,19,15,689,592,0,0,68,46,16,6,234,172,99,96,3,1,1,1,261,245,59,23,8,6,54,134,108,34,16,0,0,0,0,0,0,0,1,6,0,35,20,1,5,1,116,24,5,134,62,11,1.28,0.54,0,550,12,17,1,22,0,0,6,9,122,50,1,10,15,2,10,0,5,83,1,10,35,19,0,0,0,0,0,0,0,0,112,53,20,5,261,245
679311,Max,Klarlund Nielsen,MID,2004-10-25,2025/2026,191620,1st Division,328,191620,679311,18,17,2,1,1644,1644,1,2,9,1,1,0,0,0,1,355,160,94,11,186,120,22,8,14,491,341,3,1,39,22,74,26,128,65,125,120,8,1,7,7,141,93,46,21,79,66,49,147,109,165,74,0,0,0,0,1,0,0,24,13,0,53,21,9,18,7,89,35,5,222,72,11,0.58,3.45,0,336,31,86,5,16,0,0,1,35,93,36,4,0,28,9,0,0,2,51,1,0,22,8,0,0,0,0,0,0,0,0,179,56,94,45,141,93
626392,Baptiste,Rolland,DEF,2003-01-14,2025/2026,191620,1st Division,328,191620,626392,5,0,0,5,124,124,0,0,1,0,1,0,0,0,0,26,16,7,2,6,4,6,4,1,52,43,0,0,10,9,0,0,25,20,3,1,0,0,0,0,15,13,5,3,2,2,9,16,13,3,3,0,0,0,0,0,0,0,0,0,0,7,6,0,1,0,22,5,1,8,7,1,0.14,0.01,0,37,2,4,0,9,0,0,0,3,13,6,0,5,1,0,5,0,1,8,0,5,6,4,0,0,0,0,0,0,0,0,18,4,4,2,15,13
56086,Anders Bak,Holvad,FWD,1990-06-24,2025/2026,191620,1st Division,328,191620,56086,10,0,0,10,215,215,0,3,3,1,1,0,0,0,1,93,29,24,6,29,10,14,7,11,79,62,0,0,5,2,6,2,24,19,18,15,0,0,4,4,20,16,10,7,5,5,12,39,27,14,8,0,0,0,0,0,0,0,0,7,0,26,6,1,8,4,18,9,0,40,9,1,0.37,1.38,0,50,11,5,1,2,0,1,1,6,15,11,3,0,5,2,0,0,2,12,1,0,14,7,0,0,0,0,0,0,0,0,33,12,8,4,20,16
372290,Emil,Søgård Jensen,DEF,1996-11-30,2025/2026,191620,1st Division,328,191620,372290,18,18,1,0,1730,1730,0,0,2,0,5,0,0,0,0,247,87,143,32,35,23,41,18,20,1172,999,0,0,150,103,31,11,463,347,131,127,7,2,2,2,463,423,160,87,11,11,60,204,155,44,20,1,0,0,0,0,0,0,2,2,0,28,14,6,3,2,155,41,5,195,84,12,0.47,0.21,0,885,9,15,0,34,0,2,4,4,239,67,1,0,54,25,0,0,1,168,0,0,41,18,0,0,0,0,0,0,0,0,144,94,18,8,463,423
484061,Jonas,Dakir,GKP,1997-04-18,2025/2026,191620,1st Division,328,191620,484061,18,18,0,0,1747,1747,0,0,0,0,0,0,0,0,0,23,17,3,2,1,1,14,11,1,481,384,0,0,60,27,0,0,284,190,1,1,1,0,0,0,176,174,213,125,0,0,38,41,41,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,90,0,0,111,37,5,0,0,28.12,326,1,0,0,10,0,0,0,5,164,15,0,122,2,2,44,78,0,118,0,112,0,0,5,28,81,46,0,14,11,53,18,3,1,0,176,174
449370,Lukas,Sparre Klitten,DEF,2000-05-01,2025/2026,191620,1st Division,328,191620,449370,18,18,9,0,1611,1611,1,5,9,0,2,0,0,0,0,192,53,91,10,65,28,15,5,9,662,532,3,1,65,37,29,13,185,118,175,170,8,2,9,9,177,143,40,21,21,14,46,137,92,62,28,13,4,1,0,33,0,0,3,10,0,21,10,1,20,9,86,37,3,174,59,6,1.82,2.35,0,516,20,28,2,17,0,0,3,12,102,42,0,0,47,18,0,0,2,71,0,0,15,5,0,0,0,0,0,0,0,0,93,46,32,12,177,143
579347,Jakob,Vadstrup Larsen,DEF,2003-07-30,2025/2026,191620,1st Division,328,191620,579347,16,12,4,4,1257,1257,1,0,5,5,3,0,0,0,0,235,103,87,32,13,6,83,42,21,806,716,0,0,63,43,5,3,287,219,55,53,7,4,0,0,366,355,85,41,1,1,48,136,115,11,5,0,0,0,0,0,0,0,1,2,0,52,23,2,0,0,176,20,1,118,57,8,0.51,0,0,568,10,10,4,46,0,0,9,5,118,62,1,20,21,15,20,0,2,80,0,20,83,42,0,0,0,0,0,0,0,0,136,66,5,0,366,355
135111,Lasse ,Vigen Christensen,MID,1994-08-15,2025/2026,191620,1st Division,328,191620,135111,18,18,6,0,1626,1626,1,1,12,3,1,0,0,0,0,233,85,94,19,61,29,42,21,23,973,846,1,0,164,128,13,7,274,201,157,150,20,10,4,4,409,384,103,68,7,2,65,161,125,33,12,0,0,0,0,1,0,0,1,12,0,36,16,7,8,4,174,69,5,162,42,8,1.02,1.06,0,710,33,42,1,12,2,0,3,7,143,104,2,0,17,10,0,0,4,112,1,0,42,21,0,0,0,0,0,0,0,0,116,58,21,1,409,384
