PLAYER_WYID,SEASONNAME,TEAMNAME,MATCHES,MINUTESTAGGED,GOALS,YELLOWCARD,REDCARDS,PASSES,SUCCESSFULPASSES,PASSESTOFINALTHIRD,SUCCESSFULPASSESTOFINALTHIRD,FORWARDPASSES,SUCCESSFULFORWARDPASSES,TOUCHINBOX,ASSISTS,DUELS,DUELSWON,PROGRESSIVEPASSES,SUCCESSFULPROGRESSIVEPASSES
760820,2024/2025,AaB U19,4,268,0,0,0,121,93,13,5,42,27,9,0,33,7,17,12
1055573,2024/2025,AGF U15,13,674,0,1,0,232,168,21,12,72,44,17,0,148,52,42,16
1136275,2024/2025,Brønshøj,1,8,0,0,0,5,4,0,0,0,0,1,0,2,0,0,0
682105,2024/2025,Vejle U19,16,726,2,0,0,165,119,12,6,36,23,38,0,173,62,15,9
535638,2024/2025,AB,27,1906,1,2,0,917,680,231,129,414,241,19,5,428,178,193,134
1085406,2024/2025,Sundby,1,60,0,0,0,8,7,2,2,0,0,3,0,14,1,1,1
835307,2024/2025,Viborg U19,26,1812,0,1,0,1741,1563,246,182,651,519,5,1,174,62,273,216
869232,2024/2025,Amager Academy U17,2,180,0,0,0,84,78,0,0,35,30,0,0,1,1,13,8
818717,2024/2025,OB U17,2,92,0,0,0,16,16,0,0,1,1,7,0,32,6,1,1
1142569,2024/2025,Midtjylland U19,4,216,3,0,0,41,39,1,1,5,5,8,0,50,16,1,1
765998,2024/2025,Vejle U19,3,73,0,0,0,54,53,5,5,14,14,0,0,10,7,5,4
766804,2024/2025,Lyngby U19,2,55,0,0,0,10,5,1,0,2,1,3,0,22,6,2,1
1099854,2024/2025,Sønderjyske U15,25,2148,1,0,0,549,371,57,37,244,154,30,4,517,141,143,67
1100221,2024/2025,Horsens U15,7,231,0,0,0,48,23,6,3,17,8,0,0,20,5,12,3
1102392,2024/2025,Brøndby U19,22,1600,0,3,0,1063,948,107,74,377,294,12,0,209,108,156,105
1192656,2024/2025,Viborg U17,1,90,0,0,0,73,61,17,13,30,22,1,0,9,4,20,14
608925,2024/2025,Lyseng,3,32,0,0,0,92,71,9,8,24,15,9,0,132,47,12,8
660886,2024/2025,København U19,9,596,0,1,0,330,273,60,41,131,103,3,0,73,18,63,48
448511,2024/2025,Young Boys,10,673,2,3,0,201,145,40,24,69,42,21,0,185,87,45,37
682104,2024/2025,Thisted,5,132,1,1,0,31,20,5,1,12,5,2,0,29,9,1,0
1112656,2024/2025,SønderjyskE U17,3,56,0,0,0,5,5,0,0,1,1,2,0,15,5,0,0
679654,2024/2025,Nordsjælland U19,8,193,1,0,0,34,23,2,0,8,3,5,0,28,6,3,1
577999,2024/2025,Young Boys,11,984,0,4,0,1777,1622,219,175,422,339,12,0,397,153,202,142
751640,2024/2025,Silkeborg U19,22,1380,3,2,0,212,185,8,6,24,19,28,1,167,37,14,7
678656,2024/2025,SfB-Oure FA U19,3,163,1,0,0,97,82,10,8,26,18,5,0,50,24,11,10
1099443,2024/2025,Midtjylland U15,5,179,0,1,0,37,30,12,9,18,12,1,0,21,5,6,5
933545,2024/2025,Helsingør U17,9,357,0,0,0,63,42,2,2,19,10,9,0,74,17,10,3
709268,2024/2025,Sønderjyske U19,18,428,0,1,0,186,159,26,21,58,48,8,1,81,21,30,19
1145054,2024/2025,AGF U17,1,90,1,0,0,59,53,5,3,15,12,4,0,27,12,9,7
679426,2024/2025,AB U19,6,226,1,0,0,71,61,8,6,18,10,9,0,39,15,4,3
947780,2024/2025,Skive,18,347,1,0,0,66,45,7,4,13,5,9,0,89,33,6,2
959719,2024/2025,Næsby U19,7,337,0,1,0,189,143,20,16,76,51,3,0,56,18,47,30
1170298,2024/2025,AGF U15,5,227,0,0,0,18,16,2,1,5,3,3,0,39,15,3,2
946111,2024/2025,Nordsjælland U17,25,1565,1,3,0,760,661,95,72,161,126,22,3,421,137,75,48
779791,2024/2025,Sønderjyske U17,10,812,0,1,0,304,251,24,13,146,102,0,0,11,10,73,46
788795,2024/2025,Hobro IK U19,4,97,0,0,0,17,12,3,2,7,5,0,0,16,4,3,3
1085391,2024/2025,Sundby,23,1536,1,7,0,892,781,119,82,252,181,8,0,250,113,150,107
1145268,2024/2025,IF Lyseng U17,11,590,2,2,0,136,93,21,9,34,13,17,0,151,48,14,8
980688,2024/2025,Silkeborg U17,25,2187,8,0,0,533,390,30,23,119,69,113,3,583,204,81,44
769270,2024/2025,AGF U17,23,1626,0,1,0,849,691,110,73,337,234,16,0,271,89,153,90
760804,2024/2025,Hobro IK U19,28,2266,4,4,0,1063,876,177,105,524,375,25,1,382,157,251,186
772525,2024/2025,Amager Academy U19,14,1350,0,1,0,381,296,25,5,198,120,0,0,12,10,106,55
1170500,2024/2025,Nykøbing U19,1,90,0,0,0,27,17,3,2,9,5,1,0,22,7,9,6
679431,2024/2025,København U19,6,481,3,1,0,195,160,28,24,51,41,18,3,107,51,26,23
1063059,2024/2025,HIK U17,25,2243,21,2,0,480,374,25,17,68,39,128,3,587,204,35,20
769184,2024/2025,HB Køge U17,9,840,0,0,0,471,401,44,30,252,196,0,0,6,5,115,66
766313,2024/2025,Næsby,4,138,0,0,0,78,71,7,6,20,15,1,0,36,14,7,5
705613,2024/2025,Lyngby U19,22,2054,7,4,0,480,395,41,35,105,78,77,0,553,243,55,42
996513,2024/2025,Hobro IK U17,6,387,1,1,0,92,46,20,7,40,16,4,1,43,13,24,15
769198,2024/2025,Brøndby U19,6,290,1,1,0,206,184,35,30,66,55,1,0,89,33,30,25
831736,2024/2025,Midtjylland U17,23,1535,13,4,0,461,316,64,30,150,80,42,3,302,120,82,56
1179318,2024/2025,Ishøj,12,877,0,3,0,516,453,54,37,211,165,2,0,158,64,73,49
848036,2024/2025,HB Køge U19,13,1064,0,0,0,496,434,53,30,155,111,9,0,171,66,56,33
1098963,2024/2025,AGF U17,6,358,2,2,0,145,120,20,12,31,18,11,1,114,37,20,14
960259,2024/2025,Roskilde U17,24,1949,3,4,0,1050,835,173,112,373,253,39,8,609,234,181,122
1077523,2024/2025,HIK U19,1,17,0,0,0,6,4,1,1,1,1,0,0,2,1,3,2
981589,2024/2025,AaB U17,1,27,0,0,0,3,3,0,0,2,2,0,0,3,1,0,0
1099854,2024/2025,SønderjyskE U15,25,2148,1,0,0,549,371,57,37,244,154,30,4,517,141,143,67
1012799,2024/2025,AGF U17,1,76,0,0,0,21,13,2,1,3,2,0,0,18,6,3,1
797442,2024/2025,OB U17,24,2128,4,1,0,750,590,83,53,224,149,58,3,475,182,101,73
624721,2024/2025,IF Lyseng U19,7,443,2,0,0,120,101,16,12,39,29,7,0,73,28,16,13
1168810,2024/2025,IF Lyseng U19,3,95,1,0,0,14,11,1,1,3,1,3,0,11,0,0,0
706958,2024/2025,Randers U19,1,17,0,0,0,9,8,0,0,1,0,0,0,4,1,2,1
1185608,2024/2025,Silkeborg IF U15,1,90,0,0,0,34,29,7,6,13,9,0,0,13,4,5,5
864112,2024/2025,SfB-Oure FA U17,19,1347,6,2,0,386,275,61,42,115,71,47,3,324,116,83,54
928953,2024/2025,SfB-Oure FA U17,15,882,0,0,0,220,146,38,10,80,39,16,0,199,61,38,17
749314,2024/2025,HB Køge U19,22,1045,3,2,0,256,194,21,8,66,42,48,4,227,71,38,31
400357,2024/2025,Næstved,29,2036,1,3,0,1194,990,150,104,363,252,23,1,343,135,193,146
1078877,2024/2025,AGF U17,9,709,9,1,0,194,151,22,17,46,35,39,2,177,76,36,24
769278,2024/2025,Nordsjælland U17,23,2035,4,7,1,2069,1911,234,173,588,473,22,0,279,119,247,180
845253,2024/2025,IF Lyseng U19,11,917,3,1,0,192,131,17,9,60,41,29,0,172,56,25,15
798310,2024/2025,HB Køge U17,3,270,0,0,0,158,148,1,0,54,46,0,0,2,2,12,5
961458,2024/2025,SønderjyskE U17,24,1107,5,1,0,174,124,13,10,30,13,36,0,244,49,29,15
853690,2024/2025,Næstved U19,4,77,0,0,0,19,15,3,3,6,5,0,0,11,4,4,4
579214,2024/2025,Sundby,1,19,0,0,0,10,7,1,1,4,4,0,0,5,2,3,1
1144552,2024/2025,HB Køge U17,12,475,1,2,0,158,99,23,15,66,32,15,0,111,43,32,16
1194161,2024/2025,HIK U17,1,17,0,0,0,4,3,1,1,1,1,0,0,6,0,1,0
1074730,2024/2025,HB Køge U17,10,618,0,1,0,447,375,55,36,216,159,0,0,109,37,97,60
814086,2024/2025,Helsingør U19,16,488,2,1,0,90,70,12,6,21,12,17,1,73,26,8,6
578586,2024/2025,Næsby,11,222,1,1,0,85,54,12,9,24,17,13,0,54,27,18,14
849687,2024/2025,SfB-Oure FA U19,23,1914,3,0,0,634,485,70,41,173,94,49,4,388,146,79,49
964765,2024/2025,SfB-Oure FA U19,17,1421,4,2,0,805,663,125,94,240,159,21,2,361,123,113,84
681208,2024/2025,SfB-Oure FA U19,5,130,0,0,0,36,27,4,3,7,3,2,0,41,16,4,1
624807,2024/2025,Middelfart,10,717,0,0,0,336,289,35,28,120,85,0,0,95,42,56,34
660015,2024/2025,AB,15,1268,8,2,0,588,426,66,49,186,125,103,3,710,282,94,73
1129147,2024/2025,Esbjerg U15,19,1307,5,2,0,276,155,35,15,93,47,68,7,373,147,46,30
449249,2024/2025,Frem,1,7,0,0,0,4,3,1,0,3,2,0,0,0,0,1,1
846917,2024/2025,OB U19,1,9,0,0,0,3,3,1,1,1,1,0,0,2,2,1,1
1195830,2024/2025,SfB-Oure FA U19,1,21,0,0,0,12,8,1,1,2,1,3,0,2,1,3,1
1064886,2024/2025,HIK U17,25,1574,7,3,0,478,359,44,30,122,79,46,2,404,121,66,46
525623,2024/2025,Nykøbing,13,942,1,2,0,422,298,70,43,166,95,15,0,160,53,123,93
905481,2024/2025,SønderjyskE U19,17,623,0,1,0,222,149,37,17,108,55,3,0,103,35,57,30
230676,2024/2025,Frem,4,60,0,0,0,26,20,7,2,8,3,2,0,18,5,1,0
1095658,2024/2025,Randers U17,13,419,2,3,0,105,65,3,3,24,15,25,0,151,50,11,7
1098963,2024/2025,AGF U19,17,804,1,2,0,222,165,19,9,57,39,16,1,233,69,33,18
815708,2024/2025,Brøndby U19,20,1142,0,1,0,697,607,84,66,284,232,15,0,229,88,130,99
769261,2024/2025,Midtjylland U17,16,1361,14,2,0,293,232,19,14,55,39,96,3,375,140,29,21
956194,2024/2025,Kolding IF U17,21,947,2,0,0,165,120,9,5,27,17,34,2,177,56,13,9
678062,2024/2025,Midtjylland U19,20,1465,12,1,0,586,431,71,53,133,91,90,12,254,129,132,114
1170266,2024/2025,AB U19,13,962,1,3,0,303,259,34,28,93,67,7,1,218,76,36,23
701631,2024/2025,AaB U17,3,199,0,2,0,64,45,10,6,22,14,4,0,36,10,14,7
766593,2024/2025,Esbjerg U19,1,43,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
517851,2024/2025,Middelfart,29,2559,4,4,0,1145,864,170,95,414,248,45,6,491,199,265,194
1084364,2024/2025,Viborg U17,22,1287,2,1,0,511,413,47,30,170,122,24,0,283,104,68,46
1051585,2024/2025,Silkeborg U17,6,561,0,1,0,231,193,16,13,100,71,2,0,118,40,35,14
1071403,2024/2025,Sønderjyske U15,20,1094,3,1,0,210,145,29,22,72,50,29,1,206,79,41,24
224175,2024/2025,Næstved,26,2276,2,7,0,823,689,94,63,199,123,32,1,354,118,82,46
844366,2024/2025,Helsingør U19,13,517,0,1,0,352,309,36,19,137,103,2,1,78,31,58,38
684690,2024/2025,IF Lyseng U19,6,406,0,0,0,83,59,15,9,32,18,4,0,134,50,17,12
1113152,2024/2025,Amager Academy U17,1,90,0,0,0,51,41,9,7,22,15,0,0,20,12,12,9
1054002,2024/2025,SønderjyskE U15,6,495,0,2,0,161,110,24,15,69,36,5,0,117,49,34,11
764623,2024/2025,Amager Academy U19,4,327,0,1,0,175,154,29,21,45,30,4,0,89,40,21,17
1028620,2024/2025,SønderjyskE U19,2,36,1,0,0,16,8,1,1,3,2,1,0,13,2,2,1
938620,2024/2025,Vejle U17,8,193,0,1,0,76,63,12,11,37,29,1,1,76,25,21,14
961778,2024/2025,Horsens U17,23,1770,0,0,0,744,577,69,41,279,180,27,0,335,99,154,90
882054,2024/2025,Esbjerg U17,12,799,3,2,0,154,112,4,1,27,20,25,1,171,58,18,6
850109,2024/2025,Kolding IF U19,18,1145,2,2,0,387,307,75,43,159,102,15,0,168,68,81,50
766689,2024/2025,Sønderjyske U19,7,186,0,0,0,48,38,4,3,12,9,2,0,47,15,7,4
844658,2024/2025,Horsens U17,6,166,0,0,0,105,82,6,1,46,29,2,0,27,9,18,6
959654,2024/2025,Vejle U15,20,1553,0,2,0,809,675,86,60,331,245,9,1,232,83,156,84
956194,2024/2025,Kolding IF U19,2,145,1,0,0,41,30,4,4,3,1,11,0,35,12,8,4
1101595,2024/2025,Esbjerg U15,25,1692,2,4,0,281,210,38,20,108,62,18,0,319,100,48,26
941353,2024/2025,Roskilde U17,18,1050,2,2,0,345,261,55,35,115,67,20,5,299,112,65,47
742173,2024/2025,OB U19,17,1153,0,1,0,414,338,47,31,115,74,19,1,255,83,53,30
1108679,2024/2025,SfB-Oure FA U19,3,53,0,0,0,6,5,1,1,1,1,0,0,5,2,1,1
275936,2024/2025,Nykøbing,12,835,3,3,0,177,132,18,11,38,19,32,0,260,96,16,12
749777,2024/2025,Helsingør U19,26,2113,1,2,0,1011,812,102,64,369,260,29,1,368,162,197,136
766724,2024/2025,B 93 U19,14,993,5,5,0,318,249,29,21,84,64,49,0,268,124,55,47
941351,2024/2025,Hvidovre U17,23,1756,14,4,0,379,255,46,27,97,59,97,3,452,163,60,37
961227,2024/2025,HIK U17,19,1822,5,3,0,733,570,115,71,267,176,28,1,556,224,135,86
1065138,2024/2025,Esbjerg U15,24,2002,3,3,0,487,309,59,36,138,81,104,7,667,254,96,69
1015392,2024/2025,Amager Academy U19,9,443,0,0,0,232,182,22,9,79,46,4,1,99,34,50,29
270143,2024/2025,Ishøj,7,245,0,2,0,52,45,7,6,11,8,4,0,52,18,8,5
1103381,2024/2025,AB U17,25,1152,6,1,0,439,322,54,40,151,111,37,10,383,162,76,56
1017790,2024/2025,FC Nordsjælland U15,13,1230,0,0,0,759,622,98,38,306,195,0,0,16,7,137,75
766107,2024/2025,Nordsjælland U17,6,455,2,3,0,154,114,19,7,40,20,22,0,143,59,21,16
680209,2024/2025,SønderjyskE U19,16,1253,1,3,0,567,469,103,80,199,137,19,1,324,125,88,61
769104,2024/2025,AB U17,19,1341,1,2,1,528,432,91,66,191,138,22,2,429,183,83,52
1103384,2024/2025,AB U17,2,92,0,0,0,42,32,1,0,24,15,0,0,3,1,15,5
1172219,2024/2025,Næsby U19,12,1065,4,0,0,369,313,40,35,120,101,45,2,193,79,38,32
915582,2024/2025,Vejle U17,23,1668,12,1,0,397,287,39,25,108,64,86,5,430,147,48,29
750681,2024/2025,Vejle U19,20,1651,1,2,0,897,778,110,82,218,157,9,1,392,146,112,78
941462,2024/2025,Nykøbing U19,15,910,0,2,0,261,182,41,25,118,69,4,1,214,47,71,38
1067149,2024/2025,AaB U17,16,1258,3,0,0,479,369,73,50,153,92,42,1,342,128,89,57
820137,2024/2025,Hvidovre U19,8,686,0,0,0,173,156,3,0,60,44,0,0,4,2,28,19
760805,2024/2025,AaB U19,20,1153,2,0,0,261,184,10,6,61,33,38,2,241,74,44,22
831769,2024/2025,AB U19,12,939,0,0,0,620,553,83,57,204,156,3,1,136,49,82,66
1108791,2024/2025,Viborg U17,14,551,1,2,0,167,118,20,16,65,46,11,1,118,35,36,22
846717,2024/2025,OB U17,23,2042,10,1,0,579,416,63,41,170,115,98,5,426,139,128,106
681081,2024/2025,HIK U19,2,180,0,0,0,74,69,2,2,20,15,0,0,0,0,15,10
760859,2024/2025,Silkeborg U19,22,2178,0,3,0,1806,1634,212,170,493,394,15,0,325,121,217,155
765988,2024/2025,Esbjerg U19,21,1735,4,1,0,608,483,62,45,155,106,32,2,318,121,84,46
1103388,2024/2025,AB U17,2,24,0,0,0,15,13,1,1,5,3,0,0,7,2,2,2
1069737,2024/2025,Næsby U17,23,979,1,4,0,266,184,49,30,126,77,5,1,180,50,70,37
947118,2024/2025,Silkeborg IF U15,9,600,0,1,0,235,186,23,16,82,61,14,0,144,43,49,34
1080910,2024/2025,Silkeborg IF U15,7,193,0,0,0,68,51,8,5,21,10,2,0,38,7,20,13
449042,2024/2025,Brønshøj,25,1968,0,9,0,886,718,167,113,340,243,14,1,364,131,160,119
858880,2024/2025,SfB-Oure FA U19,20,1758,2,2,0,1006,834,134,78,429,308,13,0,313,149,186,129
679428,2024/2025,Midtjylland U19,1,46,0,0,0,18,15,2,2,1,0,5,1,21,11,3,3
701631,2024/2025,AaB U19,14,872,3,2,0,280,211,32,25,84,58,24,1,141,46,56,40
879771,2024/2025,Nordsjælland U17,1,19,0,0,0,5,4,0,0,1,1,2,0,6,2,0,0
568373,2024/2025,AB,29,2380,0,7,0,878,629,140,75,368,239,32,5,500,210,233,174
847885,2024/2025,Randers U17,24,2247,6,6,0,1163,925,191,105,497,326,14,1,329,128,260,171
769134,2024/2025,Hvidovre U17,9,472,0,1,0,98,61,16,11,36,23,12,2,87,34,27,18
578588,2024/2025,Næsby,2,20,0,0,0,4,4,0,0,0,0,0,0,11,1,0,0
960254,2024/2025,Roskilde U19,22,924,0,0,0,141,102,15,7,41,17,9,0,73,27,15,11
1051585,2024/2025,Silkeborg IF U15,19,1800,0,1,0,1109,967,125,83,462,355,5,0,288,117,177,115
897263,2024/2025,Næsby U19,7,443,0,0,0,248,217,32,23,98,77,3,0,72,31,43,30
693199,2024/2025,Sønderjyske U19,5,104,0,0,0,28,19,5,5,7,4,2,0,52,12,6,4
1099957,2024/2025,HB Køge U17,1,14,0,0,0,7,6,1,1,2,2,0,0,4,2,2,1
963497,2024/2025,Randers U17,13,674,1,0,0,270,220,31,18,90,56,3,1,158,76,47,28
773035,2024/2025,Næstved U19,4,202,0,0,0,89,71,11,6,19,10,2,0,43,19,10,5
679227,2024/2025,Hobro IK U19,22,1617,2,2,0,452,337,48,25,143,88,41,0,436,184,81,53
766684,2024/2025,SønderjyskE U19,22,1258,3,2,0,249,167,13,10,56,24,51,3,260,73,43,31
769074,2024/2025,Midtjylland U15,5,426,0,1,0,141,101,34,19,83,55,2,0,116,45,41,30
769255,2024/2025,Kolding IF U19,2,33,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
449517,2024/2025,Skive,13,610,1,4,0,208,159,14,5,45,32,16,0,151,56,28,22
679430,2024/2025,København U19,9,836,0,1,0,471,377,45,31,120,85,17,0,154,60,71,50
625215,2024/2025,Brøndby U19,26,2124,2,5,0,1029,850,156,107,368,270,28,2,447,153,186,143
1147828,2024/2025,Næsby U17,1,6,0,0,0,3,3,2,2,2,2,0,0,2,0,2,2
1187130,2024/2025,Lyseng,6,540,0,0,0,186,155,11,3,69,41,0,0,3,3,36,18
956034,2024/2025,Randers U15,19,1664,1,3,0,742,556,123,66,305,188,12,4,528,190,165,96
813151,2024/2025,AGF U17,2,134,1,0,0,86,73,7,6,20,16,10,0,49,22,9,6
684327,2024/2025,SønderjyskE U19,2,107,0,0,0,40,29,9,6,14,8,3,0,42,12,8,7
1194023,2024/2025,Randers U15,2,180,0,0,0,60,43,7,4,23,14,4,0,35,8,13,8
766613,2024/2025,Esbjerg U19,20,960,2,3,0,237,168,14,9,53,34,24,1,180,41,39,19
519664,2024/2025,Lyseng,2,62,0,0,0,12,9,1,1,4,3,2,0,18,6,4,2
945986,2024/2025,Esbjerg U15,3,222,2,0,0,43,31,5,4,17,11,12,0,89,31,8,5
607033,2024/2025,HIK,12,975,9,4,0,137,87,8,3,22,10,31,0,188,53,12,4
1098811,2024/2025,AaB U17,1,74,0,0,0,36,31,2,1,7,4,0,0,6,2,6,5
911344,2024/2025,Næsby U17,7,207,1,0,0,49,36,2,1,12,8,5,0,58,22,5,2
679656,2024/2025,Lyngby U19,6,359,0,1,0,177,142,34,23,66,48,2,0,56,24,44,32
56504,2024/2025,Middelfart,16,1381,3,2,0,820,652,160,84,395,265,14,1,217,100,199,137
739615,2024/2025,Næstved U19,23,2099,0,2,0,1001,810,178,103,462,322,7,0,277,89,249,168
678968,2024/2025,Næsby,3,21,0,0,0,21,17,3,2,6,4,0,0,5,5,4,2
1099853,2024/2025,Sønderjyske U15,21,1243,1,2,0,450,323,94,47,189,113,6,0,206,70,96,59
966095,2024/2025,Vejle U19,23,1276,3,4,0,162,118,11,6,36,21,49,0,228,66,18,12
1169175,2024/2025,Næsby U17,7,438,0,0,0,124,82,19,7,55,31,5,0,82,31,29,12
765193,2024/2025,AGF U17,1,90,0,0,0,27,23,0,0,11,8,0,0,0,0,3,1
519653,2024/2025,HIK,21,1459,0,4,0,976,821,181,106,467,340,3,1,214,100,197,148
846646,2024/2025,HIK U19,24,1335,0,2,0,608,497,82,57,175,114,5,0,257,92,89,52
623308,2024/2025,Fremad Amager,2,53,0,0,0,40,33,12,9,15,11,0,0,9,4,9,6
1029987,2024/2025,Esbjerg U15,10,930,7,1,0,619,457,112,80,246,156,53,4,437,196,126,89
1126978,2024/2025,Lyngby U15,4,362,0,0,0,130,111,25,14,55,40,4,0,54,32,24,20
932316,2024/2025,Roskilde U17,26,2324,0,2,0,1132,1070,12,2,270,227,0,0,35,26,73,26
769274,2024/2025,Nordsjælland U17,23,1912,1,3,1,1514,1308,246,181,636,488,25,1,343,146,258,178
1098849,2024/2025,AaB U15,4,390,0,0,0,154,134,0,0,56,40,0,0,2,2,18,3
620759,2024/2025,Næstved U19,1,76,0,0,0,73,70,7,7,28,27,0,0,4,1,12,11
956186,2024/2025,Kolding IF U17,14,1184,1,2,0,642,477,146,72,313,187,1,6,189,77,190,126
846919,2024/2025,Næsby U17,25,2224,3,3,0,669,492,98,63,277,185,21,1,550,208,135,77
845864,2024/2025,Sønderjyske U17,14,416,0,0,0,143,102,31,18,46,27,5,0,90,25,25,13
844652,2024/2025,AGF U15,3,249,0,1,0,120,103,18,7,41,31,2,0,36,20,16,13
1095266,2024/2025,København U15,11,709,2,0,0,205,172,21,17,58,44,16,0,129,42,23,15
868832,2024/2025,FC Nordsjælland U15,10,900,0,0,0,607,550,13,2,153,117,0,0,20,14,62,24
851699,2024/2025,AaB U17,19,1528,1,1,1,1265,1120,104,77,442,354,15,0,222,97,188,117
944216,2024/2025,Viborg U17,13,610,3,3,0,130,82,13,7,43,24,37,2,198,79,21,9
738328,2024/2025,Vejle U19,14,270,0,0,0,56,39,5,3,13,8,5,0,69,11,6,2
1185313,2024/2025,IF Lyseng U19,1,120,0,0,0,21,15,1,1,13,9,0,0,3,3,10,6
915798,2024/2025,Kolding IF U19,18,828,0,2,0,248,163,24,10,102,52,17,1,211,71,58,31
864110,2024/2025,HB Køge U17,25,1741,2,0,0,1080,872,155,92,407,267,18,1,207,65,210,147
908553,2024/2025,Helsingør U19,20,1158,12,4,0,182,131,15,12,35,22,64,2,286,84,17,15
624674,2024/2025,Vejle U19,24,2052,3,4,0,1070,882,145,80,410,278,34,1,329,129,187,124
846979,2024/2025,Amager Academy U19,23,2068,0,7,0,1150,955,165,120,462,344,12,2,598,229,232,150
680547,2024/2025,Roskilde U19,10,891,2,3,0,308,245,50,36,83,57,29,0,211,71,69,50
768998,2024/2025,Nordsjælland U17,21,1143,5,0,0,597,524,23,19,93,70,48,2,206,83,62,38
961457,2024/2025,Sønderjyske U15,3,270,0,0,0,96,76,21,13,41,31,0,1,40,19,12,9
1191716,2024/2025,Nykøbing U17,1,12,0,0,0,4,3,0,0,1,0,1,0,5,2,0,0
741008,2024/2025,HB Køge U19,12,836,1,2,0,347,287,60,42,133,93,14,2,176,73,72,51
1098979,2024/2025,AGF U15,25,2101,0,1,0,837,666,85,55,360,258,3,0,266,85,158,91
1112681,2024/2025,Vejle U15,3,76,0,1,0,37,31,5,4,16,11,1,1,18,8,8,7
815864,2024/2025,Amager Academy U17,2,180,0,0,0,84,72,12,7,34,24,0,0,3,2,21,15
962715,2024/2025,København U15,1,41,1,0,0,14,14,1,1,2,2,2,0,22,7,1,1
768977,2024/2025,Silkeborg IF U15,2,210,1,0,0,66,46,9,2,24,11,3,0,57,26,3,0
